# frequency	phase_space
1.310039e+01	5.796603e+07
1.310039e+01	5.796603e+07
1.333513e+01	6.470324e+07
1.333513e+01	6.470324e+07
1.388044e+01	5.090143e+07
1.388044e+01	5.090143e+07
1.425481e+01	5.171708e+07
1.425481e+01	5.171708e+07
1.442564e+01	6.030733e+07
1.442564e+01	6.030733e+07
1.593679e+01	5.456817e+07
1.593679e+01	5.456817e+07
1.627869e+01	4.367065e+07
1.627869e+01	4.367065e+07
1.635611e+01	4.379392e+07
1.635611e+01	4.379392e+07
1.726686e+01	5.957402e+07
1.726686e+01	5.957402e+07
1.732241e+01	5.848488e+07
1.732241e+01	5.848488e+07
1.764367e+01	5.227906e+07
1.764367e+01	5.227906e+07
1.806215e+01	5.400496e+07
1.806215e+01	5.400496e+07
1.898415e+01	6.926963e+07
1.898415e+01	6.926963e+07
1.928640e+01	6.382585e+07
1.928640e+01	6.382585e+07
1.932876e+01	6.745716e+07
1.932876e+01	6.745716e+07
2.027884e+01	5.305628e+07
2.027884e+01	5.305628e+07
2.055154e+01	5.814254e+07
2.055154e+01	5.814255e+07
2.075291e+01	5.889104e+07
2.075291e+01	5.889104e+07
2.155891e+01	4.801976e+07
2.155891e+01	4.801976e+07
2.157342e+01	4.598606e+07
2.157342e+01	4.598606e+07
2.215439e+01	4.547388e+07
2.215439e+01	4.547388e+07
2.221581e+01	5.049872e+07
2.221581e+01	5.049872e+07
2.242519e+01	7.358689e+07
2.242519e+01	7.358689e+07
2.251025e+01	5.236708e+07
2.251025e+01	5.236708e+07
2.288152e+01	6.490909e+07
2.288152e+01	6.490909e+07
2.488703e+01	6.965802e+07
2.488703e+01	6.965802e+07
2.509556e+01	6.502969e+07
2.509556e+01	6.502969e+07
2.553737e+01	6.317429e+07
2.553737e+01	6.317429e+07
2.595146e+01	9.543939e+07
2.595146e+01	9.543939e+07
2.595373e+01	9.522443e+07
2.595373e+01	9.522443e+07
2.621311e+01	6.773260e+07
2.621311e+01	6.773260e+07
2.682638e+01	1.221817e+08
2.682638e+01	1.221817e+08
2.683069e+01	1.255940e+08
2.683069e+01	1.255940e+08
2.692000e+01	8.194488e+07
2.692000e+01	8.194488e+07
2.698252e+01	6.635821e+07
2.698252e+01	6.635821e+07
2.766547e+01	6.977189e+07
2.766547e+01	6.977189e+07
2.770358e+01	9.733454e+07
2.770358e+01	9.733454e+07
2.842764e+01	6.272926e+07
2.842764e+01	6.272926e+07
2.855729e+01	9.240638e+07
2.855729e+01	9.240638e+07
3.074178e+01	4.353132e+07
3.074178e+01	4.353132e+07
3.092364e+01	3.978694e+07
3.092364e+01	3.978694e+07
3.145780e+01	5.163617e+07
3.145780e+01	5.163617e+07
3.167829e+01	7.870798e+07
3.167829e+01	7.870798e+07
3.222419e+01	4.413813e+07
3.222419e+01	4.413813e+07
3.222481e+01	4.408072e+07
3.222481e+01	4.408072e+07
3.262578e+01	4.015168e+07
3.262578e+01	4.015168e+07
3.262581e+01	4.015146e+07
3.262581e+01	4.015146e+07
