degree,orig,x0.5,x2,x4,x10,x20,x50
52.5,4.79167E-6,0.00171,0,0,0,0,0
53.5,2.60417E-6,0.00156,0,0,0,0,0
54.5,2.91667E-6,0.00144,0,0,0,0,0
55.5,1.77083E-6,0.0013,0,0,0,0,0
56.5,8.33333E-7,0.00121,0,0,0,0,0
57.5,7.29167E-7,0.0011,0,0,0,0,0
58.5,1.35417E-6,9.78958E-4,0,0,0,0,0
59.5,3.125E-7,8.78333E-4,0,0,0,0,0
60.5,3.125E-7,7.82083E-4,0,0,0,0,0
61.5,7.29167E-7,7.17708E-4,0,0,0,0,0
62.5,5.20833E-7,6.52708E-4,0,0,0,0,0
63.5,3.125E-7,5.975E-4,0,0,0,0,0
64.5,1.04167E-7,5.16042E-4,0,0,0,0,0
65.5,1.04167E-7,4.80729E-4,0,0,0,0,0
66.5,1.04167E-7,4.39583E-4,0,0,0,0,0
67.5,1.04167E-7,3.91667E-4,0,0,0,0,0
68.5,0,3.53333E-4,0,0,0,0,0
69.5,0,3.22083E-4,0,0,0,0,0
70.5,0,2.96354E-4,0,0,0,0,0
71.5,0,2.66458E-4,0,0,0,0,0
72.5,0,2.43021E-4,0,0,0,0,0
73.5,0,2.20833E-4,0,0,0,0,0
74.5,0,2.05625E-4,0,0,0,0,0
75.5,0,1.83229E-4,0,0,0,0,0
76.5,0,1.77917E-4,0,0,0,0,0
77.5,0,1.65208E-4,0,0,0,0,0
