time_ps,kappa_avg
3.175,6.800234925
3.18,6.986660749
3.185,6.851317394
3.19,6.726159965
3.195,6.78752947
3.2,6.787376794
3.205,6.784550701
3.21,6.842331511
3.215,6.682787055
3.22,6.472524747
3.225,6.668949345
3.23,6.944322938
3.235,6.79291382
3.24,6.590850242
3.245,6.715358876
3.25,6.826526223
3.255,6.776843828
3.26,6.792435514
3.265,6.773513482
3.27,6.667747936
3.275,6.768001325
3.28,6.921541749
3.285,6.745705559
3.29,6.592170815
3.295,6.836055558
3.3,7.009409837
3.305,6.813665498
3.31,6.679344832
3.315,6.759401902
3.32,6.81041667
3.325,6.890399815
3.33,6.99634672
3.335,6.871585387
3.34,6.746232318
3.345,6.971195047
3.35,7.15189088
3.355,6.962824667
3.36,6.867101031
3.365,7.068460816
3.37,7.13771394
3.375,7.031233761
3.38,7.033751351
3.385,7.057178875
3.39,7.063569313
3.395,7.229720684
3.4,7.295685787
3.405,7.028003424
3.41,6.910796914
3.415,7.19145271
3.42,7.328861889
3.425,7.152261913
3.43,7.110574826
3.435,7.227742947
3.44,7.255737728
3.445,7.311261431
3.45,7.387210373
3.455,7.273498392
3.46,7.217251625
3.465,7.420667724
3.47,7.444027335
3.475,7.167123633
3.48,7.140706246
3.485,7.401727996
3.49,7.441287291
3.495,7.291590554
3.5,7.250896195
3.505,7.230513333
3.51,7.23330326
3.515,7.394738473
3.52,7.42306737
3.525,7.179851771
3.53,7.146145835
3.535,7.406571444
3.54,7.42925933
3.545,7.227957439
3.55,7.254256173
3.555,7.388701089
3.56,7.34996092
3.565,7.289167677
3.57,7.246608725
3.575,7.118026834
3.58,7.152330805
3.585,7.379883957
3.59,7.324531142
3.595,7.025575856
3.6,7.042878899
3.605,7.285114115
3.61,7.279558612
3.615,7.156809821
3.62,7.165480878
3.625,7.160371066
3.63,7.163062664
3.635,7.289282553
3.64,7.279069532
3.645,7.110905565
3.65,7.197425077
3.655,7.417966402
3.66,7.28690528
3.665,7.031221777
3.67,7.106114904
3.675,7.275973734
3.68,7.262962209
3.685,7.235230787
3.69,7.207982904
3.695,7.124859586
3.7,7.239009645
3.705,7.484011916
3.71,7.416229381
3.715,7.198212842
3.72,7.310311118
3.725,7.513805781
3.73,7.426539343
3.735,7.328226047
3.74,7.430559264
3.745,7.498585959
3.75,7.516178222
3.755,7.569016425
3.76,7.469642991
3.765,7.328469948
3.77,7.503948511
3.775,7.729644675
3.78,7.574539792
3.785,7.376792748
3.79,7.515168268
3.795,7.680624051
3.8,7.666649667
3.805,7.673824674
3.81,7.676956747
3.815,7.615755269
3.82,7.699264166
3.825,7.820547393
3.83,7.672696847
3.835,7.539875462
3.84,7.749244539
3.845,7.900039339
3.85,7.710175952
3.855,7.573968382
3.86,7.665338609
3.865,7.727596089
3.87,7.748425286
3.875,7.76375884
3.88,7.616779629
3.885,7.496630588
3.89,7.692398954
3.895,7.859230248
3.9,7.684293906
3.905,7.5728455
3.91,7.740209276
3.915,7.794607435
3.92,7.656204975
3.925,7.613121015
3.93,7.624914583
3.935,7.608766507
3.94,7.695968197
3.945,7.722973248
3.95,7.503008397
3.955,7.420969023
3.96,7.679259091
3.965,7.783425414
3.97,7.55966832
3.975,7.45072935
3.98,7.545888333
3.985,7.579838555
3.99,7.597376132
3.995,7.63938692
4,7.558874145
4.005,7.527124859
4.01,7.709226532
4.015,7.745799061
4.02,7.513930605
4.025,7.483316576
4.03,7.709916362
4.035,7.734954061
4.04,7.565014078
4.045,7.521401028
4.05,7.556375099
4.055,7.6021515
4.06,7.734784565
4.065,7.74640416
4.07,7.539771933
4.075,7.520846931
4.08,7.768683872
4.085,7.810661097
4.09,7.639410032
4.095,7.676600523
4.1,7.842762698
4.105,7.848128885
4.11,7.811038149
4.115,7.812270073
4.12,7.758152854
4.125,7.805486864
4.13,7.980942559
4.135,7.91360736
4.14,7.654249059
4.145,7.703341719
4.15,7.974674782
4.155,8.000542254
4.16,7.876294231
4.165,7.887919788
4.17,7.928334725
4.175,7.953092911
4.18,8.052396975
4.185,8.044684161
4.19,7.903692576
4.195,7.976351118
4.2,8.186487409
4.205,8.107501075
4.21,7.910499043
4.215,8.005761469
4.22,8.183138894
4.225,8.142106073
4.23,8.043658011
4.235,7.987429824
4.24,7.925952
4.245,8.013646117
4.25,8.19337022
4.255,8.113899742
4.26,7.914600884
4.265,8.014533588
4.27,8.207875302
4.275,8.122735732
4.28,7.990964313
4.285,8.048194144
4.29,8.09641214
4.295,8.07635793
4.3,8.081594147
4.305,7.996970187
4.31,7.893134407
4.315,8.035675159
4.32,8.193131163
4.325,8.00197539
4.33,7.773941937
4.335,7.875060371
4.34,8.020165845
4.345,7.973173754
4.35,7.926825667
4.355,7.9209338
4.36,7.887526996
4.365,7.966829507
4.37,8.075372935
4.375,7.953193582
4.38,7.826985871
4.385,7.987442434
4.39,8.100039947
4.395,7.909074903
4.4,7.784057297
4.405,7.908245519
4.41,8.008480263
4.415,8.015298632
4.42,8.006112449
4.425,7.89802328
4.43,7.826667985
4.435,8.007609644
4.44,8.148349912
4.445,7.98018151
4.45,7.868692593
4.455,8.046112801
4.46,8.156153304
4.465,8.074599936
4.47,8.063666383
4.475,8.124003327
4.48,8.143141714
4.485,8.205195495
4.49,8.217069346
4.495,8.04945755
4.5,8.008889305
4.505,8.255319409
4.51,8.360358655
4.515,8.164304465
4.52,8.081770423
4.525,8.214663376
4.53,8.285783161
4.535,8.28560105
4.54,8.292479517
4.545,8.22355252
4.55,8.207965874
4.555,8.376916488
4.56,8.433863745
4.565,8.264370024
4.57,8.264136352
4.575,8.48383692
4.58,8.499831698
4.585,8.312008351
4.59,8.251979983
4.595,8.303439547
4.6,8.347415023
4.605,8.42574954
4.61,8.407740297
4.615,8.231355644
4.62,8.228626767
4.625,8.458449024
4.63,8.490053776
4.635,8.294241596
4.64,8.277145731
4.645,8.406198975
4.65,8.396439626
4.655,8.334216817
4.66,8.337530108
4.665,8.320279065
4.67,8.360075297
4.675,8.479975902
4.68,8.399802399
4.685,8.163519722
4.69,8.192374814
4.695,8.409869339
4.7,8.383256767
4.705,8.200027385
4.71,8.17513252
4.715,8.235662112
4.72,8.274276305
4.725,8.340634585
4.73,8.316435348
4.735,8.187509628
4.74,8.233275056
4.745,8.397103938
4.75,8.317510145
4.755,8.135752557
4.76,8.222770252
4.765,8.395927659
4.77,8.357078173
4.775,8.250826796
4.78,8.214614597
4.785,8.196399963
4.79,8.271392534
4.795,8.389008399
4.8,8.285557948
4.805,8.098084732
4.81,8.20045025
4.815,8.409722173
4.82,8.366693526
4.825,8.265168259
4.83,8.345680119
4.835,8.427451475
4.84,8.415963796
4.845,8.413985518
4.85,8.367141614
4.855,8.314940405
4.86,8.454315045
4.865,8.599903573
4.87,8.450851063
4.875,8.283978423
4.88,8.426757604
4.885,8.603255425
4.89,8.553322906
4.895,8.4696287
4.9,8.461718433
4.905,8.466073119
4.91,8.555510932
4.915,8.666772041
4.92,8.59420068
4.925,8.513826543
4.93,8.675454403
4.935,8.797955239
4.94,8.64449415
4.945,8.534512383
4.95,8.654800344
4.955,8.746042002
4.96,8.713109614
4.965,8.66644996
4.97,8.587001464
4.975,8.560626825
4.98,8.724474148
4.985,8.826865364
4.99,8.648323602
4.995,8.521930446
5,8.666523599
5.005,8.759487577
5.01,8.660482666
5.015,8.622141243
5.02,8.678286348
5.025,8.702057656
5.03,8.738154133
5.035,8.733038074
5.04,8.589841577
