# frequency	phase_space
1.000317e+01	2.563124e+07
1.058781e+01	3.041527e+07
1.058781e+01	3.041527e+07
1.063402e+01	3.068137e+07
1.063402e+01	3.068137e+07
1.131560e+01	2.619904e+07
1.131560e+01	2.619904e+07
1.147502e+01	3.346017e+07
1.147502e+01	3.346014e+07
1.232813e+01	3.580325e+07
1.232813e+01	3.580325e+07
1.311934e+01	3.387741e+07
1.311934e+01	3.387741e+07
1.322654e+01	4.067858e+07
1.322654e+01	4.067858e+07
1.353838e+01	3.309180e+07
1.353838e+01	3.309180e+07
1.408177e+01	3.506758e+07
1.408177e+01	3.506758e+07
1.456052e+01	4.636138e+07
1.456052e+01	4.636138e+07
1.498790e+01	3.759945e+07
1.498790e+01	3.759945e+07
1.520615e+01	3.102894e+07
1.520615e+01	3.102894e+07
1.552096e+01	3.507179e+07
1.552096e+01	3.507179e+07
1.664966e+01	3.698891e+07
1.664966e+01	3.698891e+07
1.667113e+01	3.718673e+07
1.667113e+01	3.718673e+07
1.701804e+01	3.816082e+07
1.701804e+01	3.816082e+07
1.774429e+01	3.344226e+07
1.774429e+01	3.344226e+07
1.811800e+01	3.851979e+07
1.811800e+01	3.851979e+07
1.922358e+01	3.575992e+07
1.922358e+01	3.575992e+07
1.923499e+01	3.565764e+07
1.923499e+01	3.565764e+07
2.004837e+01	3.544576e+07
2.004837e+01	3.544576e+07
2.039197e+01	4.468385e+07
2.039197e+01	4.468385e+07
2.112462e+01	4.419071e+07
2.112462e+01	4.419071e+07
2.154881e+01	5.110754e+07
2.154881e+01	5.110754e+07
2.239314e+01	3.685943e+07
2.239314e+01	3.685943e+07
2.243042e+01	3.860815e+07
2.243042e+01	3.860815e+07
2.246896e+01	3.643338e+07
2.246896e+01	3.643338e+07
2.323295e+01	4.339493e+07
2.323295e+01	4.339493e+07
2.362262e+01	4.232435e+07
2.362262e+01	4.232435e+07
2.427619e+01	3.725948e+07
2.427619e+01	3.725948e+07
2.433745e+01	4.772796e+07
2.433745e+01	4.772796e+07
2.517575e+01	4.683112e+07
2.517575e+01	4.683112e+07
2.524755e+01	4.179698e+07
2.524755e+01	4.179698e+07
2.553290e+01	4.607495e+07
2.553290e+01	4.607495e+07
2.621924e+01	4.564279e+07
2.621924e+01	4.564279e+07
2.623622e+01	4.545484e+07
2.623622e+01	4.545484e+07
2.628487e+01	4.710182e+07
2.628487e+01	4.710182e+07
2.689645e+01	3.820098e+07
2.689645e+01	3.820098e+07
2.698605e+01	4.236419e+07
2.698605e+01	4.236419e+07
2.763423e+01	3.894788e+07
2.763423e+01	3.894788e+07
2.763693e+01	3.879280e+07
2.763693e+01	3.879280e+07
2.845495e+01	4.631706e+07
2.845495e+01	4.631706e+07
2.856272e+01	5.006692e+07
2.856272e+01	5.006692e+07
2.877765e+01	4.199026e+07
2.877765e+01	4.199026e+07
2.889210e+01	4.426520e+07
2.889210e+01	4.426520e+07
3.075691e+01	3.711363e+07
3.075691e+01	3.711363e+07
3.091667e+01	3.237992e+07
3.091667e+01	3.237992e+07
3.146532e+01	3.291514e+07
3.146532e+01	3.291514e+07
3.167760e+01	3.602444e+07
3.167760e+01	3.602444e+07
3.189703e+01	3.528179e+07
3.189703e+01	3.528179e+07
3.192990e+01	3.471246e+07
3.192990e+01	3.471246e+07
3.286809e+01	3.863321e+07
3.286809e+01	3.863321e+07
3.286949e+01	3.825822e+07
3.286949e+01	3.825822e+07
3.410267e+01	3.797107e+07
3.410267e+01	3.797107e+07
3.411328e+01	4.781136e+07
3.411328e+01	4.781136e+07
3.508490e+01	3.591173e+07
3.508490e+01	3.591173e+07
3.509374e+01	3.610762e+07
3.509374e+01	3.610762e+07
3.577995e+01	4.118688e+07
3.577995e+01	4.118688e+07
3.579375e+01	4.128437e+07
3.579375e+01	4.128437e+07
3.930937e+01	3.118289e+07
3.930937e+01	3.118289e+07
3.931744e+01	3.096772e+07
3.931744e+01	3.096772e+07
4.210842e+01	3.107904e+07
4.210842e+01	3.107904e+07
4.211783e+01	3.028561e+07
4.211783e+01	3.028561e+07
4.443800e+01	3.145469e+07
4.443800e+01	3.145469e+07
4.444714e+01	3.508532e+07
4.444714e+01	3.508532e+07
4.463305e+01	2.384505e+07
