time_ps,kappa_avg
3.69,3.598258324
3.695,3.621774684
3.7,3.602674003
3.705,3.587884269
3.71,3.608566838
3.715,3.629330938
3.72,3.625694271
3.725,3.598542001
3.73,3.560768839
3.735,3.567644204
3.74,3.638344698
3.745,3.679759765
3.75,3.631767103
3.755,3.576601343
3.76,3.58796617
3.765,3.62045382
3.77,3.628497118
3.775,3.618075591
3.78,3.596975177
3.785,3.580088701
3.79,3.587421969
3.795,3.588198778
3.8,3.566510212
3.805,3.579609311
3.81,3.634650215
3.815,3.642115158
3.82,3.580001303
3.825,3.540498205
3.83,3.563791056
3.835,3.605451888
3.84,3.622852553
3.845,3.59814714
3.85,3.544647686
3.855,3.529414965
3.86,3.573986481
3.865,3.601163193
3.87,3.57658764
3.875,3.566589582
3.88,3.590429994
3.885,3.589712726
3.89,3.563967415
3.895,3.560674463
3.9,3.584222176
3.905,3.60918342
3.91,3.615810489
3.915,3.578686546
3.92,3.528507543
3.925,3.544899736
3.93,3.617398905
3.935,3.643514407
3.94,3.604063385
3.945,3.577593229
3.95,3.59180004
3.955,3.615879582
3.96,3.632692037
3.965,3.635482301
3.97,3.62303693
3.975,3.623863592
3.98,3.63426226
3.985,3.614780925
3.99,3.590943853
3.995,3.627439143
4,3.687315246
4.005,3.685060744
4.01,3.635201021
4.015,3.608325624
4.02,3.625670551
4.025,3.666213027
4.03,3.694699344
4.035,3.67092474
4.04,3.623400564
4.045,3.622931662
4.05,3.657422126
4.055,3.658679399
4.06,3.642423059
4.065,3.658887767
4.07,3.680107979
4.075,3.66580745
4.08,3.639616064
4.085,3.634012967
4.09,3.652293222
4.095,3.688429866
4.1,3.698872582
4.105,3.647098863
4.11,3.592680249
4.115,3.615013093
4.12,3.670526198
4.125,3.67609355
4.13,3.645069001
4.135,3.628544946
4.14,3.629335862
4.145,3.637843993
4.15,3.649187279
4.155,3.645527919
4.16,3.638838098
4.165,3.64980947
4.17,3.645736355
4.175,3.600103509
4.18,3.575839556
4.185,3.617808294
4.19,3.664984189
4.195,3.655860855
4.2,3.61398305
4.205,3.585677197
4.21,3.594065208
4.215,3.636048839
4.22,3.661143594
4.225,3.633785699
4.23,3.60158569
4.235,3.612588448
4.24,3.626165951
4.245,3.611668716
4.25,3.609586002
4.255,3.637832839
4.26,3.654662142
4.265,3.641624725
4.27,3.617870147
4.275,3.605438454
4.28,3.630609312
4.285,3.68267996
4.29,3.692979863
4.295,3.639227421
4.3,3.602962688
4.305,3.630489468
4.31,3.666788488
4.315,3.668078281
4.32,3.657085997
4.325,3.650302504
4.33,3.649449331
4.335,3.660336626
4.34,3.668305952
4.345,3.664957811
4.35,3.679411426
4.355,3.709359522
4.36,3.695742375
4.365,3.641962878
4.37,3.626653739
4.375,3.670719991
4.38,3.710551343
4.385,3.708252927
4.39,3.677250612
4.395,3.649685275
4.4,3.659639851
4.405,3.701619528
4.41,3.719723248
4.415,3.697319279
4.42,3.686255401
4.425,3.698053271
4.43,3.69187692
4.435,3.670593764
4.44,3.676592271
4.445,3.704324018
4.45,3.719338728
4.455,3.706620993
4.46,3.67249181
4.465,3.650997083
4.47,3.682209823
4.475,3.735004648
4.48,3.733627421
4.485,3.686409572
4.49,3.666076567
4.495,3.685399975
4.5,3.701259432
4.505,3.702129284
4.51,3.695328599
4.515,3.684741261
4.52,3.681648266
4.525,3.684092793
4.53,3.671179214
4.535,3.662526517
4.54,3.693108095
4.545,3.723764468
4.55,3.696617078
4.555,3.643228455
4.56,3.633141249
4.565,3.664604043
4.57,3.695099672
4.575,3.697033194
4.58,3.667688416
4.585,3.63750715
4.59,3.648338474
4.595,3.681228436
4.6,3.685309743
4.605,3.672094014
4.61,3.679356242
4.615,3.687375516
4.62,3.665849674
4.625,3.643120309
4.63,3.651665934
4.635,3.6822174
4.64,3.705329373
4.645,3.697099474
4.65,3.658032766
4.655,3.640091813
4.66,3.67970178
4.665,3.72709104
4.67,3.723392107
4.675,3.692428509
4.68,3.682978212
4.685,3.692015722
4.69,3.701483119
4.695,3.706462675
4.7,3.705536695
4.705,3.705465052
4.71,3.7147893
4.715,3.711426053
4.72,3.688869801
4.725,3.692332334
4.73,3.738964232
4.735,3.768905671
4.74,3.743521527
4.745,3.705098674
4.75,3.698454688
4.755,3.723182451
4.76,3.754084444
4.765,3.759851718
4.77,3.729778908
4.775,3.706597643
4.78,3.720817246
4.785,3.738246247
4.79,3.732272512
4.795,3.734432216
4.8,3.755648797
4.805,3.757354552
4.81,3.729862113
4.815,3.706423496
4.82,3.710101082
4.825,3.737482152
4.83,3.764694849
4.835,3.75136487
4.84,3.703585829
4.845,3.684723614
4.85,3.71820407
4.855,3.748211978
4.86,3.73966701
4.865,3.720093025
4.87,3.712329507
4.875,3.710947758
4.88,3.711513634
4.885,3.711096039
4.89,3.708987207
4.895,3.718445101
4.9,3.728337837
4.905,3.708115888
4.91,3.674031653
4.915,3.68157468
4.92,3.725910193
4.925,3.747614783
4.93,3.726115576
4.935,3.693042411
4.94,3.681074594
4.945,3.70066885
4.95,3.731449607
4.955,3.732885866
4.96,3.707436038
4.965,3.698250691
4.97,3.711409081
4.975,3.712117901
4.98,3.706302418
4.985,3.723974849
4.99,3.751031026
4.995,3.752324885
5,3.728667705
5.005,3.704880792
5.01,3.705199664
5.015,3.739309207
5.02,3.771408051
5.025,3.755851823
5.03,3.713822657
5.035,3.707622738
5.04,3.737274199
5.045,3.757759121
5.05,3.758022362
5.055,3.755579881
5.06,3.753985509
5.065,3.752582953
5.07,3.751328028
5.075,3.746050159
5.08,3.74888914
5.085,3.770969912
5.09,3.782623258
